trade_date,close,pe
2005-01-04,982.794,
2005-01-05,992.564,
2005-01-06,983.174,
2005-01-07,983.958,
2005-01-10,993.879,
2005-01-11,997.135,
2005-01-12,996.748,
2005-01-13,996.877,
2005-01-14,988.306,
2005-01-17,967.452,
2005-01-18,974.689,
2005-01-19,967.21,
2005-01-20,956.245,
2005-01-21,982.604,
2005-01-24,998.133,
2005-01-25,997.775,
2005-01-26,989.928,
2005-01-27,974.631,
2005-01-28,969.209,
2005-01-31,954.879,
2005-02-01,955.951,
2005-02-02,1006.913,
2005-02-03,993.215,
2005-02-04,1016.858,
2005-02-16,1023.584,
2005-02-17,1020.606,
2005-02-18,1006.055,
2005-02-21,1025.633,
2005-02-22,1046.744,
2005-02-23,1043.944,
2005-02-24,1045.46,
2005-02-25,1046.761,
2005-02-28,1039.989,
2005-03-01,1035.934,
2005-03-02,1021.32,
2005-03-03,1027.71,
2005-03-04,1023.667,
2005-03-07,1029.871,
2005-03-08,1048.987,
2005-03-09,1046.544,
2005-03-10,1022.413,
2005-03-11,1027.429,
2005-03-14,1031.026,
2005-03-15,1013.523,
2005-03-16,1003.065,
2005-03-17,992.863,
2005-03-18,978.665,
2005-03-21,981.893,
2005-03-22,964.024,
2005-03-23,959.01,
2005-03-24,964.801,
2005-03-25,962.955,
2005-03-28,960.696,
2005-03-29,955.19,
2005-03-30,937.034,
2005-03-31,942.203,
2005-04-01,978.145,
2005-04-04,962.168,
2005-04-05,955.598,
2005-04-06,973.668,
2005-04-07,984.733,
2005-04-08,1003.445,15.605
2005-04-11,995.421,15.4991
2005-04-12,978.697,15.1283
2005-04-13,1000.9,15.5734
2005-04-14,986.975,15.4431
2005-04-15,974.082,15.2404
2005-04-18,963.772,15.437
2005-04-19,965.886,15.4075
2005-04-20,950.867,15.2125
2005-04-21,943.981,15.119
2005-04-22,939.101,15.176
2005-04-25,930.07,15.0268
2005-04-26,937.083,15.1991
2005-04-27,926.604,15.0277
2005-04-28,942.073,15.3708
2005-04-29,932.395,15.1673
2005-05-09,909.174,14.8723
2005-05-10,913.076,14.9741
2005-05-11,901.851,14.7901
2005-05-12,885.82,14.4558
2005-05-13,887.543,14.4681
2005-05-16,875.271,14.2792
2005-05-17,881.462,14.2793
2005-05-18,883.196,14.2861
2005-05-19,884.171,14.2835
2005-05-20,882.763,14.2466
2005-05-23,863.341,13.8966
2005-05-24,868.456,13.8738
2005-05-25,868.451,13.8419
2005-05-26,857.331,13.6673
2005-05-27,849.508,13.5729
2005-05-30,855.612,13.6742
2005-05-31,855.946,13.6865
2005-06-01,837.532,13.3818
2005-06-02,818.379,13.0686
2005-06-03,818.033,13.0292
2005-06-06,838.997,13.3368
2005-06-07,837.282,13.2589
2005-06-08,905.773,14.3771
2005-06-09,912.604,14.5745
2005-06-10,894.556,14.2463
2005-06-13,892.959,14.2115
2005-06-14,883.537,14.0829
2005-06-15,866.834,13.8266
2005-06-16,879.237,13.9938
2005-06-17,880.345,13.9793
2005-06-20,906.255,14.3782
2005-06-21,896.166,14.1667
2005-06-22,900.646,14.1629
2005-06-23,893.572,14.0799
2005-06-24,898.301,14.1925
2005-06-27,916.043,14.4613
2005-06-28,903.716,14.2512
2005-06-29,898.898,14.1638
2005-06-30,878.686,13.8452
2005-07-01,859.494,13.3318
2005-07-04,855.932,13.2809
2005-07-05,849.679,13.1585
2005-07-06,842.556,13.0768
2005-07-07,844.729,13.1432
2005-07-08,829.489,12.9259
2005-07-11,824.097,12.8536
2005-07-12,851.816,13.2743
2005-07-13,846.231,13.1773
2005-07-14,849.59,13.2284
2005-07-15,841.001,13.0905
2005-07-18,832.995,12.9792
2005-07-19,835.608,12.9834
2005-07-20,842.641,13.0842
2005-07-21,843.987,13.1065
2005-07-22,859.693,13.4166
2005-07-25,856.86,13.3892
2005-07-26,876.48,13.7444
2005-07-27,894.012,13.9538
2005-07-28,890.885,13.9042
2005-07-29,888.164,13.8051
2005-08-01,891.607,13.8697
2005-08-02,903.598,14.1112
2005-08-03,909.57,14.1595
2005-08-04,904.15,14.1024
2005-08-05,923.803,14.4079
2005-08-08,927.471,14.5068
2005-08-09,933.089,14.6233
2005-08-10,940.37,14.7545
2005-08-11,953.992,14.9721
2005-08-12,938.316,14.7301
2005-08-15,954.502,14.8926
2005-08-16,945.058,14.5907
2005-08-17,953.012,14.7075
2005-08-18,920.671,14.1005
2005-08-19,923.038,14.1081
2005-08-22,931.673,14.1838
2005-08-23,923.414,14.098
2005-08-24,930.651,14.2723
2005-08-25,930.118,14.3292
2005-08-26,928.258,14.4421
2005-08-29,917.371,14.2093
2005-08-30,914.88,14.1814
2005-08-31,927.916,14.2493
2005-09-01,944.559,14.5023
2005-09-02,947.871,14.5295
2005-09-05,952.717,14.5578
2005-09-06,936.61,14.3274
2005-09-07,952.758,14.5385
2005-09-08,955.282,14.5504
2005-09-09,949.065,14.5039
2005-09-12,949.506,14.462
2005-09-13,963.774,14.6652
2005-09-14,970.193,14.7777
2005-09-15,969.598,14.7535
2005-09-16,967.495,14.6896
2005-09-19,971.136,14.7295
2005-09-20,961.919,14.6009
2005-09-21,944.408,14.2842
2005-09-22,923.274,13.993
2005-09-23,916.154,13.932
2005-09-26,918.485,13.9523
