trade_date,close,pe
2005-01-03,14237.42,16.8146
2005-01-04,14045.9,16.5883
2005-01-05,13764.36,16.2556
2005-01-06,13712.04,16.1938
2005-01-07,13574.86,16.0322
2005-01-10,13531.39,15.9808
2005-01-11,13509.25,15.9547
2005-01-12,13565.31,16.0209
2005-01-13,13573.28,16.0303
2005-01-14,13494.78,15.9376
2005-01-17,13621.65,16.0874
2005-01-18,13604.22,16.0723
2005-01-19,13678.63,16.1601
2005-01-20,13543.59,16.0014
2005-01-21,13481.02,15.9268
2005-01-24,13386.99,15.8157
2005-01-25,13584.06,16.0485
2005-01-26,13623.68,16.0953
2005-01-27,13628.91,16.1015
2005-01-28,13650.06,16.1265
2005-01-31,13721.69,16.2111
2005-02-01,13578.26,16.0417
2005-02-02,13555.8,16.0151
2005-02-03,13515.33,15.9495
2005-02-04,13585.17,16.0318
2005-02-07,13795.0,16.2787
2005-02-08,13845.63,16.3392
2005-02-14,14017.23,16.541
2005-02-15,13995.83,16.5166
2005-02-16,14015.49,16.5395
2005-02-17,13967.82,16.4835
2005-02-18,14087.87,16.625
2005-02-21,14111.65,16.6531
2005-02-22,14090.52,16.6282
2005-02-23,13957.94,16.4273
2005-02-24,14060.91,16.5485
2005-02-25,14157.09,16.6619
2005-02-28,14195.35,16.2564
2005-03-01,14061.15,16.163
2005-03-02,13850.78,15.922
2005-03-03,13892.37,15.7486
2005-03-04,13730.78,15.5513
2005-03-07,13771.95,15.5979
2005-03-08,13881.71,15.7222
2005-03-09,13941.47,15.7841
2005-03-10,13856.02,15.6848
2005-03-11,13890.93,15.5284
2005-03-14,13906.85,15.5462
2005-03-15,13816.75,15.3527
2005-03-16,13832.52,15.3703
2005-03-17,13817.99,15.3297
2005-03-18,13828.37,15.3413
2005-03-21,13834.35,15.348
2005-03-22,13776.47,15.2511
2005-03-23,13603.61,14.9835
2005-03-24,13597.1,14.9818
2005-03-29,13411.88,14.5893
2005-03-30,13425.75,14.2254
2005-03-31,13516.88,14.6087
2005-04-01,13491.35,14.6022
2005-04-04,13513.41,14.6259
2005-04-06,13562.26,14.6785
2005-04-07,13602.35,14.7223
2005-04-08,13666.72,14.7851
2005-04-11,13659.93,14.7775
2005-04-12,13658.05,14.7762
2005-04-13,13799.62,14.9289
2005-04-14,13772.4,14.893
2005-04-15,13638.75,14.7485
2005-04-18,13355.23,14.4416
2005-04-19,13444.09,14.5375
2005-04-20,13501.63,14.5066
2005-04-21,13597.31,14.6095
2005-04-22,13693.55,14.7128
2005-04-25,13750.23,14.7738
2005-04-26,13859.58,14.8914
2005-04-27,13839.64,14.8698
2005-04-28,13909.42,14.9626
2005-04-29,13908.97,15.1593
2005-05-03,13893.98,15.1451
2005-05-04,13945.05,15.202
2005-05-05,14061.7,15.3292
2005-05-06,14033.96,15.2945
2005-05-09,14085.09,15.3378
2005-05-10,14018.38,15.2584
