trade_date,close,pe
2005-01-03,1202.08,18.362
2005-01-04,1188.05,18.1481
2005-01-05,1183.74,18.0827
2005-01-06,1187.89,18.1558
2005-01-07,1186.19,18.131
2005-01-10,1190.25,18.1952
2005-01-11,1182.99,18.0848
2005-01-12,1187.7,18.1555
2005-01-13,1177.45,17.9991
2005-01-14,1184.52,18.1086
2005-01-18,1195.98,18.2843
2005-01-19,1184.63,18.1103
2005-01-20,1175.41,17.9691
2005-01-21,1167.87,17.852
2005-01-24,1163.75,17.7886
2005-01-25,1168.41,17.8606
2005-01-26,1174.07,17.9462
2005-01-27,1174.55,17.9556
2005-01-28,1171.36,17.8939
2005-01-31,1181.27,18.0025
2005-02-01,1189.41,18.1256
2005-02-02,1193.19,18.1826
2005-02-03,1189.89,18.132
2005-02-04,1203.03,18.3317
2005-02-07,1201.72,18.3118
2005-02-08,1202.3,18.3214
2005-02-09,1191.99,18.163
2005-02-10,1197.01,18.2393
2005-02-11,1205.3,18.3657
2005-02-14,1206.14,18.3786
2005-02-15,1210.12,18.4392
2005-02-16,1210.34,18.4421
2005-02-17,1200.75,18.2962
2005-02-18,1201.59,18.3094
2005-02-22,1184.16,18.0446
2005-02-23,1190.8,18.1458
2005-02-24,1200.2,18.2884
2005-02-25,1211.37,18.4496
2005-02-28,1203.6,18.2975
2005-03-01,1210.41,18.402
2005-03-02,1210.08,18.3958
2005-03-03,1210.47,18.396
2005-03-04,1222.12,18.5724
2005-03-07,1225.31,18.6212
2005-03-08,1219.43,18.5324
2005-03-09,1207.01,18.3436
2005-03-10,1209.25,18.3784
2005-03-11,1200.08,18.2384
2005-03-14,1206.83,18.3475
2005-03-15,1197.75,18.2086
2005-03-16,1188.07,18.061
2005-03-17,1190.21,18.0924
2005-03-18,1189.65,18.0824
2005-03-21,1183.78,17.9552
2005-03-22,1171.71,17.7732
2005-03-23,1172.53,17.7866
2005-03-24,1171.42,17.77
2005-03-28,1174.28,17.8083
2005-03-29,1165.36,17.6729
2005-03-30,1181.41,17.9162
2005-03-31,1180.59,17.6353
2005-04-01,1172.92,17.5135
2005-04-04,1176.12,17.514
2005-04-05,1181.39,17.5924
2005-04-06,1184.07,17.6327
2005-04-07,1191.14,17.7373
2005-04-08,1181.2,17.5896
2005-04-11,1181.21,17.5897
2005-04-12,1187.76,17.6876
2005-04-13,1173.79,17.4796
2005-04-14,1162.05,17.3052
2005-04-15,1142.62,17.0159
2005-04-18,1145.98,17.0656
2005-04-19,1152.78,17.1674
2005-04-20,1137.5,16.9391
2005-04-21,1159.95,17.2733
2005-04-22,1152.12,17.1577
2005-04-25,1162.1,17.3072
2005-04-26,1151.74,17.1535
2005-04-27,1156.38,17.2237
2005-04-28,1143.22,17.0282
2005-04-29,1156.85,17.209
2005-05-02,1162.16,17.2621
2005-05-03,1161.17,17.2477
2005-05-04,1175.65,17.4617
2005-05-05,1172.63,17.4193
2005-05-06,1171.35,17.3997
2005-05-09,1178.84,17.5105
2005-05-10,1166.22,17.3235
2005-05-11,1171.11,17.3966
2005-05-12,1159.36,17.2213
2005-05-13,1154.05,17.1417
2005-05-16,1165.69,17.3163
2005-05-17,1173.8,17.4375
2005-05-18,1185.56,17.6123
2005-05-19,1191.08,17.694
2005-05-20,1189.28,17.6688
2005-05-23,1193.86,17.7368
2005-05-24,1194.07,17.7377
2005-05-25,1190.01,17.6767
2005-05-26,1197.62,17.7903
2005-05-27,1198.78,17.8132
2005-05-31,1191.5,17.6873
2005-06-01,1202.27,17.8478
2005-06-02,1204.29,17.8838
2005-06-03,1196.02,17.7602
2005-06-06,1197.51,17.7815
2005-06-07,1197.26,17.7778
2005-06-08,1194.67,17.7386
2005-06-09,1200.93,17.831
2005-06-10,1198.11,17.7899
2005-06-13,1200.82,17.8236
2005-06-14,1203.91,17.8721
2005-06-15,1206.58,17.9112
2005-06-16,1210.96,17.9759
2005-06-17,1216.96,18.0638
2005-06-20,1216.1,18.0624
2005-06-21,1213.61,18.0257
2005-06-22,1213.88,18.0293
2005-06-23,1200.73,17.8341
2005-06-24,1191.57,17.6955
2005-06-27,1190.69,17.6841
2005-06-28,1201.57,17.8468
2005-06-29,1199.85,17.8215
2005-06-30,1191.33,17.3527
2005-07-01,1194.44,17.3838
2005-07-05,1204.99,17.5004
2005-07-06,1194.94,17.3545
2005-07-07,1197.87,17.3969
2005-07-08,1211.86,17.6001
2005-07-11,1219.44,17.7101
2005-07-12,1222.21,17.7501
2005-07-13,1223.29,17.7656
2005-07-14,1226.5,17.8126
2005-07-15,1227.92,17.8332
2005-07-18,1221.13,17.7345
2005-07-19,1229.35,17.8532
2005-07-20,1235.2,17.9382
2005-07-21,1227.04,17.8199
2005-07-22,1233.68,17.9156
2005-07-25,1229.03,17.8482
2005-07-26,1231.16,17.8792
2005-07-27,1236.79,17.9619
2005-07-28,1243.72,18.0624
2005-07-29,1234.18,17.9241
2005-08-01,1235.35,17.901
2005-08-02,1244.12,18.0271
2005-08-03,1245.04,18.0405
2005-08-04,1235.86,17.917
2005-08-05,1226.42,17.7802
2005-08-08,1223.13,17.7327
2005-08-09,1231.38,17.8523
2005-08-10,1229.13,17.8194
2005-08-11,1237.81,17.9475
2005-08-12,1230.39,17.8375
2005-08-15,1233.87,17.8965
2005-08-16,1219.34,17.6858
2005-08-17,1220.24,17.6978
2005-08-18,1219.02,17.6797
2005-08-19,1219.71,17.6292
2005-08-22,1221.73,17.6582
2005-08-23,1217.57,17.5981
2005-08-24,1209.59,17.4825
2005-08-25,1212.4,17.5232
2005-08-26,1205.1,17.3998
2005-08-29,1212.28,17.4995
2005-08-30,1208.41,17.4368
2005-08-31,1220.33,17.5701
2005-09-01,1221.59,17.5849
2005-09-02,1218.02,17.5337
2005-09-06,1233.39,17.7483
2005-09-07,1236.36,17.7911
2005-09-08,1231.67,17.7244
2005-09-09,1241.48,17.8649
2005-09-12,1240.56,17.8531
2005-09-13,1231.2,17.7181
2005-09-14,1227.16,17.6599
2005-09-15,1227.73,17.6682
2005-09-16,1237.91,17.8171
2005-09-19,1231.02,17.6936
2005-09-20,1221.34,17.5545
2005-09-21,1210.2,17.3941
2005-09-22,1214.62,17.4579
2005-09-23,1215.29,17.4677
2005-09-26,1215.63,17.4569
2005-09-27,1215.66,17.4573
2005-09-28,1216.89,17.4748
2005-09-29,1227.68,17.6297
2005-09-30,1228.81,17.4067
2005-10-03,1226.7,17.3192
2005-10-04,1214.47,17.139
2005-10-05,1196.39,16.884
2005-10-06,1191.49,16.8151
2005-10-07,1195.9,16.8772
2005-10-10,1187.33,16.7563
2005-10-11,1184.87,16.5756
2005-10-12,1177.68,16.4752
2005-10-13,1176.84,16.4635
2005-10-14,1186.57,16.5995
2005-10-17,1190.1,16.6488
2005-10-18,1178.14,16.4817
2005-10-19,1195.76,16.7281
2005-10-20,1177.8,16.4769
2005-10-21,1179.59,16.5019
2005-10-24,1199.38,16.7787
2005-10-25,1196.54,16.7387
2005-10-26,1191.38,16.6663
2005-10-27,1178.9,16.4919
2005-10-28,1198.41,16.7643
2005-10-31,1207.01,16.8533
2005-11-01,1202.76,16.794
2005-11-02,1214.76,16.9616
2005-11-03,1219.94,17.0341
2005-11-04,1220.14,17.0371
2005-11-07,1222.81,17.0744
2005-11-08,1218.59,17.0153
2005-11-09,1220.65,17.0441
2005-11-10,1230.96,17.188
2005-11-11,1234.72,17.2403
2005-11-14,1233.76,17.2263
2005-11-15,1229.01,17.1599
2005-11-16,1231.21,17.1907
2005-11-17,1242.8,17.3525
2005-11-18,1248.27,17.4289
2005-11-21,1254.85,17.5496
2005-11-22,1261.23,17.6389
2005-11-23,1265.61,17.7002
2005-11-25,1268.25,17.7252
2005-11-28,1257.46,17.5757
2005-11-29,1257.48,17.576
2005-11-30,1249.48,17.425
2005-12-01,1264.67,17.6396
2005-12-02,1265.08,17.6112
2005-12-05,1262.09,17.5691
2005-12-06,1263.7,17.5939
2005-12-07,1257.37,17.5059
2005-12-08,1255.84,17.491
2005-12-09,1259.37,17.5403
2005-12-12,1260.43,17.5551
2005-12-13,1267.43,17.6523
2005-12-14,1272.74,17.7264
2005-12-15,1270.94,17.699
2005-12-16,1267.32,17.6486
2005-12-19,1259.92,17.5596
2005-12-20,1259.62,17.558
2005-12-21,1262.79,17.6023
2005-12-22,1268.12,17.6789
2005-12-23,1268.66,17.6864
2005-12-27,1256.54,17.5263
2005-12-28,1258.17,17.5489
2005-12-29,1254.42,17.4967
2005-12-30,1248.29,17.4025
2006-01-03,1268.8,17.1414
2006-01-04,1273.46,17.2013
2006-01-05,1273.48,17.2018
2006-01-06,1285.45,17.3636
2006-01-09,1290.15,17.425
2006-01-10,1289.69,17.4188
2006-01-11,1294.18,17.4791
2006-01-12,1286.06,17.3694
2006-01-13,1287.61,17.3905
2006-01-17,1282.93,17.3263
2006-01-18,1277.93,17.2587
2006-01-19,1285.04,17.3549
2006-01-20,1261.49,17.0368
2006-01-23,1263.82,17.0688
2006-01-24,1266.86,17.1097
2006-01-25,1264.68,17.0812
2006-01-26,1273.83,17.2047
2006-01-27,1283.72,17.3347
2006-01-30,1285.2,17.3248
2006-01-31,1280.08,17.2371
2006-02-01,1282.46,17.274
2006-02-02,1270.84,17.1182
2006-02-03,1264.03,17.0168
2006-02-06,1265.02,17.0306
2006-02-07,1254.78,16.8924
2006-02-08,1265.65,17.0387
2006-02-09,1263.78,17.0132
2006-02-10,1266.99,17.0557
2006-02-13,1262.86,16.9995
2006-02-14,1275.53,17.1699
2006-02-15,1280.0,17.23
2006-02-16,1289.38,17.3564
2006-02-17,1287.24,17.3275
2006-02-21,1283.03,17.271
2006-02-22,1292.67,17.4006
2006-02-23,1287.79,17.3344
2006-02-24,1289.43,17.3315
2006-02-27,1294.12,17.3852
2006-02-28,1280.66,17.1804
2006-03-01,1291.24,17.3225
2006-03-02,1289.14,17.2956
2006-03-03,1287.23,17.2595
2006-03-06,1278.26,17.1393
2006-03-07,1275.88,17.1071
2006-03-08,1278.47,17.1415
2006-03-09,1272.23,17.0578
2006-03-10,1281.58,17.1829
2006-03-13,1284.13,17.2193
2006-03-14,1297.48,17.3984
2006-03-15,1303.02,17.4721
2006-03-16,1305.33,17.5029
2006-03-17,1307.25,17.5286
2006-03-20,1305.08,17.5116
2006-03-21,1297.23,17.4062
2006-03-22,1305.04,17.511
2006-03-23,1301.67,17.4659
2006-03-24,1302.95,17.4824
2006-03-27,1301.61,17.43
2006-03-28,1293.23,17.3177
2006-03-29,1302.89,17.4472
2006-03-30,1300.25,17.4127
2006-03-31,1294.83,16.8554
2006-04-03,1297.81,16.947
2006-04-04,1305.93,17.053
2006-04-05,1311.56,17.1267
2006-04-06,1309.04,17.0941
2006-04-07,1295.5,16.9177
2006-04-10,1296.6,16.9275
2006-04-11,1286.57,16.7969
2006-04-12,1288.12,16.817
2006-04-13,1289.12,16.8301
2006-04-17,1285.33,16.7807
2006-04-18,1307.65,17.0721
2006-04-19,1309.93,17.1024
2006-04-20,1311.46,17.1262
2006-04-21,1311.28,17.1243
2006-04-24,1308.11,17.0611
2006-04-25,1301.74,16.9781
2006-04-26,1305.41,17.0261
2006-04-27,1309.72,17.0844
2006-04-28,1310.61,17.104
2006-05-01,1305.19,16.9881
2006-05-02,1313.21,17.0925
2006-05-03,1307.85,17.0258
2006-05-04,1312.25,17.0825
2006-05-05,1325.76,17.254
2006-05-08,1324.66,17.2417
2006-05-09,1325.14,17.2487
2006-05-10,1322.85,17.2182
2006-05-11,1305.92,16.9974
2006-05-12,1291.24,16.8057
2006-05-15,1294.5,16.8483
2006-05-16,1292.08,16.8164
2006-05-17,1270.32,16.5332
2006-05-18,1261.81,16.4128
2006-05-19,1267.03,16.4812
2006-05-22,1262.07,16.4159
2006-05-23,1256.58,16.3447
2006-05-24,1258.57,16.3707
2006-05-25,1272.88,16.5578
2006-05-26,1280.16,16.6209
2006-05-30,1259.84,16.3547
2006-05-31,1270.09,16.4458
2006-06-01,1285.71,16.6425
2006-06-02,1288.22,16.6767
2006-06-05,1265.29,16.3803
2006-06-06,1263.85,16.3639
2006-06-07,1256.15,16.2639
2006-06-08,1257.93,16.2865
2006-06-09,1252.3,16.2136
2006-06-12,1236.4,16.0081
2006-06-13,1223.69,15.8431
2006-06-14,1230.04,15.9258
2006-06-15,1256.16,16.2641
2006-06-16,1251.54,16.2034
2006-06-19,1240.14,16.0618
